,admin1,admin2,year,month,fatalities,cc_event_count,actor_state,actor_rebel_groups,actor_political_militias,actor_identity_militias,actor_civilians,actor_others,cc_onset,admin0,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
33,Addis Ababa,Addis Ababa,1999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,59.27414170300001,103.55535516100001,13.922566327000004,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
34,Addis Ababa,Addis Ababa,1999,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.306354673,59.27414170300001,13.64862919,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
35,Addis Ababa,Addis Ababa,1999,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.473855702100001,6.306354673,14.141576365999999,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
36,Addis Ababa,Addis Ababa,2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.8039567339,0.0,14.830228788,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
37,Addis Ababa,Addis Ababa,2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.421071146400001,7.8039567339,15.247887617,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
38,Addis Ababa,Addis Ababa,2000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30.170711905,7.421071146400001,16.672021995,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
39,Addis Ababa,Addis Ababa,2000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.683693672,30.170711905,17.452764884,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
40,Addis Ababa,Addis Ababa,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,85.536168505,78.683693672,16.966924819000003,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
41,Addis Ababa,Addis Ababa,2000,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,127.05161741000002,85.536168505,16.325344705,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
42,Addis Ababa,Addis Ababa,2000,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,282.81530818,127.05161741000002,15.611319301999998,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
43,Addis Ababa,Addis Ababa,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,311.84722262,282.81530818,15.25825224,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
44,Addis Ababa,Addis Ababa,2000,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,177.00073122,311.84722262,15.452393919,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
45,Addis Ababa,Addis Ababa,2000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30.963507831999998,177.00073122,14.431813614000001,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
46,Addis Ababa,Addis Ababa,2000,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.852729922699998,30.963507831999998,16.597270671999993,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
47,Addis Ababa,Addis Ababa,2000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.1337820927,14.852729922699998,14.480217847,2460510.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
48,Addis Ababa,Addis Ababa,2001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.571753561799998,0.0,15.621891363999998,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
49,Addis Ababa,Addis Ababa,2001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.444511599999998,8.571753561799998,15.561966637999998,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
50,Addis Ababa,Addis Ababa,2001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,149.95538090000002,15.444511599999998,16.808268801,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
51,Addis Ababa,Addis Ababa,2001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.497476012,149.95538090000002,17.74763229,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
52,Addis Ababa,Addis Ababa,2001,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,122.927339837,33.497476012,16.847603127,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
53,Addis Ababa,Addis Ababa,2001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,155.2048865,122.927339837,15.75646511,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
54,Addis Ababa,Addis Ababa,2001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,340.78372517,155.2048865,15.397950633000002,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
55,Addis Ababa,Addis Ababa,2001,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,246.09263514000003,340.78372517,15.327616574,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
56,Addis Ababa,Addis Ababa,2001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,99.47388202,246.09263514000003,15.696677224,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
57,Addis Ababa,Addis Ababa,2001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.077551656,99.47388202,15.547854651999998,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
58,Addis Ababa,Addis Ababa,2001,11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,5.3511491428,20.077551656,14.589964692999995,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
59,Addis Ababa,Addis Ababa,2001,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.8458863634,5.3511491428,15.113317409,2517836.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
60,Addis Ababa,Addis Ababa,2002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.35375346,0.0,15.109966905000002,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
61,Addis Ababa,Addis Ababa,2002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,21.616005076,25.35375346,16.668219355,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
62,Addis Ababa,Addis Ababa,2002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,72.680613825,21.616005076,17.145309524,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
63,Addis Ababa,Addis Ababa,2002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.72970829800001,72.680613825,18.048547831,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
64,Addis Ababa,Addis Ababa,2002,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,53.997464833,47.72970829800001,18.867387560999997,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
65,Addis Ababa,Addis Ababa,2002,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,127.20532085000002,53.997464833,16.520316662,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
66,Addis Ababa,Addis Ababa,2002,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,261.9764439300001,127.20532085000002,16.519948109999998,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
67,Addis Ababa,Addis Ababa,2002,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,256.27276028,261.9764439300001,15.956516613,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
68,Addis Ababa,Addis Ababa,2002,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91.631675975,256.27276028,15.748384326000002,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
69,Addis Ababa,Addis Ababa,2002,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.074284504199998,91.631675975,14.946495635,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
70,Addis Ababa,Addis Ababa,2002,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.2032600763,11.074284504199998,15.626015611,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
71,Addis Ababa,Addis Ababa,2002,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.787974620000004,5.2032600763,15.982401285,2578384.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
